Date,Time,Plate_English,Plate_Arabic
2026-05-14,07:04:54,3647 nU,م ق ٣٦٤٧
2026-05-14,07:04:54,371 JJP,ر ر ط ٣٧١
2026-05-14,07:04:55,0 BD,ب ث ٠
2026-05-14,07:05:32,377 RbP,ع ي ط ٣٧٧
2026-05-14,07:05:32,684 HNY,د ص ن ٦٨٤
2026-05-14,07:05:32,3647 nU,م ق ٣٦٤٧
2026-05-14,07:05:33,371 JJP,ر ر ط ٣٧١
2026-05-14,07:05:33,0 BD,ب ث ٠
2026-05-14,07:06:05,4499 aU,و ق ٤٤٩٩
2026-05-14,07:06:05,44444 T,ف ٤٤٤٤٤
2026-05-14,07:06:06,4444 AEE,ا ج ج ٤٤٤٤
2026-05-14,07:06:06,44447 n,م ٤٤٤٤٧
2026-05-14,07:07:08,4444 AEE,ا ج ج ٤٤٤٤
2026-05-14,07:07:08,44447 n,م ٤٤٤٤٧
2026-05-14,07:07:20,377 RbP,ع ي ط ٣٧٧
2026-05-14,07:07:21,684 HNY,د ص ن ٦٨٤
2026-05-14,07:07:21,3647 nU,م ق ٣٦٤٧
2026-05-14,07:07:21,371 JJP,ر ر ط ٣٧١
2026-05-14,07:07:21,0 BD,ب ث ٠
2026-05-14,07:07:45,377 RbP,ع ي ط ٣٧٧
2026-05-14,07:07:45,684 HNY,د ص ن ٦٨٤
2026-05-14,07:07:45,3647 nU,م ق ٣٦٤٧
2026-05-14,07:07:46,371 JJP,ر ر ط ٣٧١
2026-05-14,07:07:46,0 BD,ب ث ٠
2026-05-14,07:07:52,8 nNJ,م ص ر ٨
2026-05-14,07:07:52,95188 AWL,ا ل س ٩٥١٨٨
2026-05-14,07:08:08,8 nNJ,م ص ر ٨
2026-05-14,07:08:08,988 APL,ا ط س ٩٨٨
2026-05-16,11:42:56,777 Z,ه ٧٧٧
2026-05-16,11:43:26,6925 VRB,ك ع ب ٦٩٢٥
2026-05-16,11:43:34,6483 RbU,ع ي ق ٦٤٨٣
2026-05-16,11:43:45,3945 VBE,ك ب ج ٣٩٤٥
2026-05-16,11:44:48,3945 PBE,ط ب ج ٣٩٤٥
2026-05-16,11:45:37,3994 LBL,س ب س ٣٩٩٤
2026-05-16,11:45:47,25945 LL,س س ٢٥٩٤٥
2026-05-16,11:46:33,395 YPB,ن ط ب ٣٩٥
2026-05-16,11:47:07,395 YPB,ن ط ب ٣٩٥
2026-05-16,11:47:39,395 YPB,ن ط ب ٣٩٥
2026-05-16,11:48:59,295 BB,ب ب ٢٩٥
2026-05-16,11:49:09,695 YPB,ن ط ب ٦٩٥
2026-05-16,11:49:23,395 YPB,ن ط ب ٣٩٥
2026-05-16,21:02:19,3945 PBE,ط ب ج ٣٩٤٥
2026-05-16,21:02:23,6925 PEB,ط ج ب ٦٩٢٥
2026-05-16,21:02:31,7546 UE,ق ج ٧٥٤٦
2026-05-16,21:02:41,66 BPW,ب ط ل ٦٦
2026-05-16,21:02:44,7333 BBB,ب ب ب ٧٣٣٣
2026-05-16,21:47:11,3 9 4 ج ب ط ط,٣ ٩ ٤
2026-05-16,21:47:21,3 3 3 3 3 ب ب ب,٣ ٣ ٣ ٣ ٣
2026-05-16,21:48:45,888 يلع, ٨٨٨
2026-05-16,21:49:11,6483 قيع, ٦٤٨٣
2026-05-16,21:51:09,888 علي, - ٨٨٨
2026-05-16,21:52:44,6483 عيق, - ٦٤٨٣
2026-05-16,21:54:34,6483 عيق, &nbsp; &nbsp; - &nbsp; &nbsp; ٦ &nbsp; ٤ &nbsp; ٨ &nbsp; ٣
2026-05-16,21:58:49,6483 عيق, - ٦ ٤ ٨ ٣
2026-05-16,21:58:58,6483 عيق, - ٦ ٤ ٨ ٣
2026-05-16,22:01:29,6483 عيق, - ٦ ٤ ٨ ٣
2026-05-16,22:02:11,6483 عيق,  -  ٦ ٤ ٨ ٣
2026-05-16,22:04:56,6483 عيق,- ٦  ٤  ٨  ٣
2026-05-16,22:07:35,6483 عيق, - ٦ ٤ ٨ ٣
2026-05-16,22:08:16,394 ططبج, - ٣ ٩ ٤
2026-05-16,22:08:22,8 مصو, - ٨
2026-05-16,22:11:46,6483 عيق, - ٦ ٤ ٨ ٣
2026-05-16,22:12:51,4475 رع, - ٤ ٤ ٧ ٥
2026-05-16,22:16:05,6483 KYE,ق ي ع - ٦ ٤ ٨ ٣
2026-05-16,22:17:45,6483 KYE,ع ي ق ٣ ٨ ٤ ٦
2026-05-16,22:18:22,6483 KYE,ع ي ق ٣ ٨ ٤ ٦
2026-05-16,22:18:31,394 GBT,ط ب ج ٤ ٩ ٣
2026-05-16,22:18:38,8888 SN,ن س ٨ ٨ ٨ ٨
2026-05-16,22:20:41,6483 KYE,ع ي ق ٣ ٨ ٤ ٦
